# Solutions to Equation 26 of Laundal et al. (2022, https://doi.org/10.1029/2022JA030356)
# which gives maximum plasma production q' as a function of solar zenith angle chi.
# Solutions from Lompe (Laundal et al., https://doi.org/10.5281/zenodo.5973739), assuming:
# n(z)        =  1e13 m^-3
# z0          =   500 km
# H           =    50 km
# tau(z, chi) = 1e-20 m^-2
chi,q_dash
0.0,1.000000
0.1,0.999998
0.2,0.999994
0.3,0.999986
0.4,0.999976
0.5,0.999962
0.6,0.999946
0.7,0.999926
0.8,0.999904
0.9,0.999878
1.0,0.999850
1.1,0.999818
1.2,0.999784
1.3,0.999746
1.4,0.999706
1.5,0.999662
1.6,0.999616
1.7,0.999566
1.8,0.999514
1.9,0.999458
2.0,0.999400
2.1,0.999338
2.2,0.999274
2.3,0.999206
2.4,0.999136
2.5,0.999062
2.6,0.998986
2.7,0.998906
2.8,0.998824
2.9,0.998738
3.0,0.998650
3.1,0.998558
3.2,0.998464
3.3,0.998366
3.4,0.998266
3.5,0.998162
3.6,0.998056
3.7,0.997946
3.8,0.997834
3.9,0.997719
4.0,0.997600
4.1,0.997479
4.2,0.997354
4.3,0.997227
4.4,0.997096
4.5,0.996963
4.6,0.996827
4.7,0.996687
4.8,0.996545
4.9,0.996399
5.0,0.996251
5.1,0.996100
5.2,0.995945
5.3,0.995788
5.4,0.995628
5.5,0.995464
5.6,0.995298
5.7,0.995129
5.8,0.994957
5.9,0.994781
6.0,0.994603
6.1,0.994422
6.2,0.994238
6.3,0.994051
6.4,0.993860
6.5,0.993667
6.6,0.993471
6.7,0.993272
6.8,0.993070
6.9,0.992865
7.0,0.992657
7.1,0.992446
7.2,0.992232
7.3,0.992015
7.4,0.991795
7.5,0.991572
7.6,0.991346
7.7,0.991117
7.8,0.990885
7.9,0.990651
8.0,0.990413
8.1,0.990172
8.2,0.989928
8.3,0.989682
8.4,0.989432
8.5,0.989179
8.6,0.988924
8.7,0.988665
8.8,0.988404
8.9,0.988139
9.0,0.987872
9.1,0.987601
9.2,0.987328
9.3,0.987051
9.4,0.986772
9.5,0.986490
9.6,0.986205
9.7,0.985916
9.8,0.985625
9.9,0.985331
10.0,0.985034
10.1,0.984734
10.2,0.984431
10.3,0.984125
10.4,0.983817
10.5,0.983505
10.6,0.983190
10.7,0.982872
10.8,0.982552
10.9,0.982228
11.0,0.981901
11.1,0.981572
11.2,0.981240
11.3,0.980904
11.4,0.980566
11.5,0.980225
11.6,0.979880
11.7,0.979533
11.8,0.979183
11.9,0.978830
12.0,0.978474
12.1,0.978116
12.2,0.977754
12.3,0.977389
12.4,0.977021
12.5,0.976651
12.6,0.976277
12.7,0.975901
12.8,0.975522
12.9,0.975139
13.0,0.974754
13.1,0.974366
13.2,0.973975
13.3,0.973581
13.4,0.973184
13.5,0.972784
13.6,0.972382
13.7,0.971976
13.8,0.971567
13.9,0.971156
14.0,0.970742
14.1,0.970324
14.2,0.969904
14.3,0.969481
14.4,0.969055
14.5,0.968626
14.6,0.968195
14.7,0.967760
14.8,0.967322
14.9,0.966882
15.0,0.966438
15.1,0.965992
15.2,0.965543
15.3,0.965091
15.4,0.964636
15.5,0.964178
15.6,0.963718
15.7,0.963254
15.8,0.962787
15.9,0.962318
16.0,0.961846
16.1,0.961371
16.2,0.960893
16.3,0.960412
16.4,0.959928
16.5,0.959441
16.6,0.958952
16.7,0.958460
16.8,0.957964
16.9,0.957466
17.0,0.956965
17.1,0.956461
17.2,0.955955
17.3,0.955445
17.4,0.954933
17.5,0.954417
17.6,0.953899
17.7,0.953378
17.8,0.952855
17.9,0.952328
18.0,0.951798
18.1,0.951266
18.2,0.950731
18.3,0.950193
18.4,0.949652
18.5,0.949108
18.6,0.948561
18.7,0.948012
18.8,0.947460
18.9,0.946904
19.0,0.946347
19.1,0.945786
19.2,0.945222
19.3,0.944656
19.4,0.944087
19.5,0.943514
19.6,0.942940
19.7,0.942362
19.8,0.941781
19.9,0.941198
20.0,0.940612
20.1,0.940023
20.2,0.939431
20.3,0.938837
20.4,0.938239
20.5,0.937639
20.6,0.937036
20.7,0.936430
20.8,0.935822
20.9,0.935210
21.0,0.934596
21.1,0.933979
21.2,0.933359
21.3,0.932737
21.4,0.932111
21.5,0.931483
21.6,0.930852
21.7,0.930219
21.8,0.929582
21.9,0.928943
22.0,0.928301
22.1,0.927656
22.2,0.927009
22.3,0.926358
22.4,0.925705
22.5,0.925049
22.6,0.924391
22.7,0.923729
22.8,0.923065
22.9,0.922398
23.0,0.921729
23.1,0.921056
23.2,0.920381
23.3,0.919703
23.4,0.919022
23.5,0.918339
23.6,0.917653
23.7,0.916964
23.8,0.916273
23.9,0.915578
24.0,0.914881
24.1,0.914181
24.2,0.913479
24.3,0.912774
24.4,0.912066
24.5,0.911355
24.6,0.910642
24.7,0.909925
24.8,0.909207
24.9,0.908485
25.0,0.907761
25.1,0.907034
25.2,0.906304
25.3,0.905572
25.4,0.904837
25.5,0.904099
25.6,0.903359
25.7,0.902616
25.8,0.901870
25.9,0.901121
26.0,0.900370
26.1,0.899616
26.2,0.898860
26.3,0.898100
26.4,0.897338
26.5,0.896574
26.6,0.895807
26.7,0.895037
26.8,0.894264
26.9,0.893489
27.0,0.892711
27.1,0.891930
27.2,0.891147
27.3,0.890361
27.4,0.889573
27.5,0.888782
27.6,0.887988
27.7,0.887191
27.8,0.886392
27.9,0.885591
28.0,0.884786
28.1,0.883979
28.2,0.883170
28.3,0.882357
28.4,0.881542
28.5,0.880725
28.6,0.879905
28.7,0.879082
28.8,0.878257
28.9,0.877429
29.0,0.876598
29.1,0.875765
29.2,0.874929
29.3,0.874091
29.4,0.873250
29.5,0.872406
29.6,0.871560
29.7,0.870712
29.8,0.869860
29.9,0.869006
30.0,0.868150
30.1,0.867291
30.2,0.866429
30.3,0.865565
30.4,0.864698
30.5,0.863829
30.6,0.862957
30.7,0.862082
30.8,0.861205
30.9,0.860326
31.0,0.859444
31.1,0.858559
31.2,0.857672
31.3,0.856782
31.4,0.855890
31.5,0.854995
31.6,0.854097
31.7,0.853198
31.8,0.852295
31.9,0.851390
32.0,0.850483
32.1,0.849573
32.2,0.848660
32.3,0.847745
32.4,0.846828
32.5,0.845907
32.6,0.844985
32.7,0.844060
32.8,0.843132
32.9,0.842202
33.0,0.841270
33.1,0.840335
33.2,0.839397
33.3,0.838457
33.4,0.837515
33.5,0.836570
33.6,0.835622
33.7,0.834672
33.8,0.833720
33.9,0.832765
34.0,0.831808
34.1,0.830848
34.2,0.829886
34.3,0.828921
34.4,0.827954
34.5,0.826984
34.6,0.826012
34.7,0.825038
34.8,0.824061
34.9,0.823082
35.0,0.822100
35.1,0.821116
35.2,0.820129
35.3,0.819140
35.4,0.818149
35.5,0.817155
35.6,0.816159
35.7,0.815160
35.8,0.814159
35.9,0.813156
36.0,0.812150
36.1,0.811141
36.2,0.810131
